ID ERSAdeg ERSArel
00160182 UN NA 
00895153 UN NA 
50750865 UN NA 
06100668 UN NA 
06100662 UN NA 
01812923 UN NA 
06100660 UN NA 
06100661 UN NA 
06100666 UN NA 
01812922 UN NA 
30060838 UN NA 
01250614 UN NA 
01250612 UN NA 
01250610 UN NA 
30600929 UN NA 
30060834 UN NA 
30060835 UN NA 
30060837 UN NA 
00633099 UN NA 
11935058 UN NA 
30420794 UN NA 
30420797 UN NA 
00340082 UN NA 
00340080 UN NA 
00340081 UN NA 
00340086 UN NA 
00340087 UN NA 
00340085 UN NA 
31115153 UN NA 
00340088 UN NA 
00340089 UN NA 
22352269 UN NA 
30350781 UN NA 
00090749 UN NA 
00090748 UN NA 
00090747 UN NA 
00090746 UN NA 
10452212 UN NA 
10452213 UN NA 
10452214 UN NA 
10342279 UN NA 
10342276 UN NA 
10452219 UN NA 
10342274 UN NA 
10342275 UN NA 
10342272 UN NA 
10342271 UN NA 
01670989 UN NA 
30400643 UN NA 
30400642 UN NA 
30400645 UN NA 
30400644 UN NA 
30400647 UN NA 
30400646 UN NA 
40240965 UN NA 
30400648 UN NA 
29830902 UN NA 
23020789 UN NA 
01202094 UN NA 
01202095 UN NA 
01202096 UN NA 
01202097 UN NA 
04190964 UN NA 
04190965 UN NA 
01202093 UN NA 
10233085 UN NA 
01202099 UN NA 
04290911 UN NA 
04290914 UN NA 
10342917 UN NA 
26003036 UN NA 
11550181 UN NA 
11550180 UN NA 
11550182 UN NA 
10170668 UN NA 
10170665 UN NA 
10352500 UN NA 
00763060 UN NA 
10170666 UN NA 
10170661 UN NA 
10170660 UN NA 
10170662 UN NA 
01613018 UN NA 
01613019 UN NA 
00102233 UN NA 
01613012 PO PO 
20953101 UN NA 
01613010 UN NA 
01613011 3rd CO 
01613016 UN NA 
01613017 UN NA 
01613014 UN NA 
20953100 UN NA 
22765275 UN NA 
22765273 UN NA 
00763061 UN NA 
22765278 UN NA 
01173109 UN NA 
01173108 UN NA 
01173103 UN NA 
01173102 UN NA 
01173101 UN NA 
01173100 UN NA 
21980387 UN NA 
29743109 UN NA 
21980385 UN NA 
21980384 UN NA 
21980381 UN NA 
26000649 UN NA 
26000646 UN NA 
00030391 UN NA 
26000644 UN NA 
26000645 UN NA 
26000642 UN NA 
26000643 UN NA 
00030396 UN NA 
10202927 UN NA 
29573015 UN NA 
30250865 UN NA 
30250866 UN NA 
30250868 UN NA 
21020763 UN NA 
06990941 UN NA 
21020764 UN NA 
29743108 UN NA 
01060747 UN NA 
01060746 UN NA 
01322911 UN NA 
01060749 UN NA 
01060748 UN NA 
01322912 UN NA 
00991161 UN NA 
11913113 UN NA 
11913110 UN NA 
11913111 UN NA 
03150749 UN NA 
03150748 UN NA 
21613044 UN NA 
21613045 UN NA 
03150747 UN NA 
03150746 UN NA 
21613040 UN NA 
21613041 UN NA 
21613042 UN NA 
21613043 UN NA 
01322916 UN NA 
30334024 UN NA 
01322917 UN NA 
52380941 UN NA 
06780679 UN NA 
30334022 UN NA 
21563011 UN NA 
21682920 UN NA 
21682923 UN NA 
21682922 UN NA 
21682925 UN NA 
21682924 UN NA 
21682927 UN NA 
21682926 UN NA 
21563019 UN NA 
21563018 UN NA 
30240534 UN NA 
00290098 UN NA 
30870752 UN NA 
52780868 UN NA 
30870750 UN NA 
00892279 UN NA 
00892276 UN NA 
00892274 UN NA 
00892275 UN NA 
00892272 UN NA 
00892271 UN NA 
03740872 UN NA 
30770834 UN NA 
10222169 UN NA 
03740871 UN NA 
10222163 UN NA 
10222161 UN NA 
10222160 UN NA 
10222167 UN NA 
01160551 UN NA 
10222164 UN NA 
30433060 UN NA 
30433061 UN NA 
20972263 UN NA 
30770837 UN NA 
30433065 UN NA 
30433066 UN NA 
00932997 UN NA 
29915087 2nd AV 
30433069 UN NA 
29963130 UN NA 
29963131 UN NA 
29915081 UN NA 
22392263 UN NA 
00932995 UN NA 
22392267 UN NA 
00950868 UN NA 
00950865 UN NA 
00290097 UN NA 
22392269 UN NA 
00950866 UN NA 
22910855 UN NA 
22910857 UN NA 
00290096 UN NA 
00290095 UN NA 
30070385 UN NA 
30070384 UN NA 
30070387 UN NA 
00290094 UN NA 
30070381 UN NA 
08340911 UN NA 
22033061 UN NA 
29190391 UN NA 
22033060 UN NA 
28040466 UN NA 
28040467 UN NA 
22033065 UN NA 
30290770 UN NA 
03280789 UN NA 
30170508 UN NA 
30170506 UN NA 
03280780 UN NA 
01540360 UN NA 
01540361 UN NA 
03280785 UN NA 
03280784 UN NA 
01540364 UN NA 
06440937 UN NA 
10190391 UN NA 
10190396 UN NA 
21595075 UN NA 
22720604 UN NA 
30720514 UN NA 
30720513 UN NA 
01782985 UN NA 
01782984 UN NA 
01782987 UN NA 
01782986 UN NA 
30720518 UN NA 
01782980 UN NA 
01810476 UN NA 
01782982 UN NA 
00720610 UN NA 
00720612 UN NA 
00720614 UN NA 
00500794 UN NA 
29702986 UN NA 
29702987 UN NA 
22925177 4th NA 
00350413 UN NA 
00350410 UN NA 
00350411 UN NA 
07810901 UN NA 
00350419 UN NA 
01470902 UN NA 
01470901 UN NA 
00630622 UN NA 
00630620 UN NA 
00630625 UN NA 
22760610 UN NA 
30100855 UN NA 
10690107 UN NA 
22760614 UN NA 
22065176 UN NA 
22065177 UN NA 
10690109 UN NA 
10690108 UN NA 
30100856 UN NA 
00052977 UN NA 
30280644 UN NA 
00273069 UN NA 
04580738 UN NA 
21735209 UN NA 
29620482 UN NA 
28020763 UN NA 
28020764 UN NA 
00052976 UN NA 
04540995 UN NA 
29260340 UN NA 
30345273 UN NA 
01670789 UN NA 
30345275 UN NA 
30345278 UN NA 
30050866 UN NA 
03080446 3rd CO 
00200718 UN NA 
03080442 2nd HS 
21730781 UN NA 
00101074 UN NA 
00883003 UN NA 
00883002 UN NA 
00883001 UN NA 
00883000 UN NA 
00883007 UN NA 
00883006 UN NA 
00883005 UN NA 
01080364 UN NA 
00883009 UN NA 
00883008 UN NA 
01360789 UN NA 
10700677 UN NA 
01003050 UN NA 
00353020 UN NA 
