         PAIR_ID  YOUNGER    OLDER  REL      PROB       HSR     N        AV        GP       MHS       PHS  AV_ERROR
  HMB161_HMB2916  HMB2916   HMB161   GP  0.998573  0.768731  28.0  0.001427  0.998573  0.000000  0.000000     False
   HMB170_HMB178   HMB178   HMB170  MHS  0.507765  0.889511  69.0  0.491825  0.000000  0.507765  0.000410     False
   HMB170_HMB513   HMB513   HMB170   AV  0.878567  0.836120  51.0  0.878567  0.000000  0.096984  0.024449     False
   HMB170_HMB660   HMB660   HMB170   GP  0.817319  0.852917  41.0  0.021509  0.817319  0.000000  0.161172     False
   HMB171_HMB750   HMB750   HMB171   GP  0.927589  0.815126  34.0  0.002430  0.927589  0.000000  0.069981     False
  HMB170_HMB2951  HMB2951   HMB170  PHS  0.995515  0.996476  49.0  0.003991  0.000493  0.000000  0.995515     False
  HMB170_HMB2977  HMB2977   HMB170  PHS  0.838471  0.907277  45.0  0.042737  0.118792  0.000000  0.838471     False
  HMB171_HMB2981  HMB2981   HMB171  PHS  0.493256  0.879780  43.0  0.041168  0.465576  0.000000  0.493256     False
  HMB171_HMB3029  HMB3029   HMB171   GP  0.638911  0.877188  39.0  0.005153  0.638911  0.000000  0.355936     False
   HMB182_HMB364   HMB182   HMB364  PHS  0.872973  0.963129  44.0  0.001891  0.000000  0.125136  0.872973     False
   HMB175_HMB645   HMB645   HMB175   AV  0.919598  0.885158  54.0  0.919598  0.000000  0.000000  0.080402     False
   HMB175_HMB646   HMB646   HMB175   AV  0.948055  0.884702  55.0  0.948055  0.000000  0.000000  0.051945     False
   HMB175_HMB647   HMB647   HMB175   AV  0.998034  0.777596  51.0  0.998034  0.000000  0.000000  0.001966     False
   HMB175_HMB648   HMB648   HMB175   AV  0.797521  0.849398  50.0  0.797521  0.134370  0.000000  0.068109     False
   HMB175_HMB649   HMB649   HMB175   AV  0.577031  0.827230  48.0  0.577031  0.383929  0.000000  0.039040     False
   HMB175_HMB794   HMB794   HMB175  PHS  0.999829  0.978881  39.0  0.000171  0.000000  0.000000  0.999829     False
  HMB182_HMB2219   HMB182  HMB2219  PHS  0.884051  0.937285  44.0  0.006299  0.000000  0.109650  0.884051     False
  HMB182_HMB3037  HMB3037   HMB182   AV  0.949919  0.814606  50.0  0.949919  0.000000  0.035972  0.014110     False
  HMB177_HMB5275  HMB5275   HMB177  MHS  0.968412  0.998104  59.0  0.031588  0.000000  0.968412  0.000000     False
   HMB307_HMB384   HMB307   HMB384  PHS  0.999050  0.992455  45.0  0.000950  0.000000  0.000000  0.999050     False
   HMB307_HMB385   HMB307   HMB385   GP  0.967686  0.691080  31.0  0.028096  0.967686  0.000000  0.004218     False
   HMB308_HMB442   HMB442   HMB308   AV  1.000000  0.770960  41.0  1.000000  0.000000  0.000000  0.000000     False
   HMB315_HMB645   HMB645   HMB315   AV  0.972260  0.836623  51.0  0.972260  0.000000  0.000000  0.027740     False
   HMB315_HMB646   HMB646   HMB315   AV  0.865321  0.853594  51.0  0.865321  0.076475  0.000000  0.058203     False
   HMB315_HMB647   HMB647   HMB315   AV  0.972632  0.840637  54.0  0.972632  0.017614  0.000000  0.009754     False
   HMB315_HMB648   HMB648   HMB315   AV  0.676674  0.854592  49.0  0.676674  0.202801  0.000000  0.120525     False
   HMB315_HMB649   HMB649   HMB315   AV  0.918576  0.811131  52.0  0.918576  0.076178  0.000000  0.005246     False
   HMB302_HMB869   HMB869   HMB302   AV  1.000000  0.980973  54.0  1.000000  0.000000  0.000000  0.000000      True
  HMB2096_HMB312  HMB2096   HMB312  PHS  0.995655  0.966337  46.0  0.004345  0.000000  0.000000  0.995655     False
  HMB2267_HMB307  HMB2267   HMB307   AV  0.997765  0.813318  55.0  0.997765  0.000000  0.000000  0.002235     False
  HMB3027_HMB316  HMB3027   HMB316  PHS  0.720923  0.941062  53.0  0.275495  0.003582  0.000000  0.720923     False
   HMB321_HMB644   HMB644   HMB321   AV  0.997750  0.868849  62.0  0.997750  0.000000  0.000000  0.002250     False
   HMB328_HMB773   HMB328   HMB773  PHS  0.999852  0.993259  40.0  0.000148  0.000000  0.000000  0.999852     False
  HMB1038_HMB318  HMB1038   HMB318   AV  0.998228  0.838802  61.0  0.998228  0.000713  0.000000  0.001059     False
  HMB2096_HMB318  HMB2096   HMB318   AV  0.972998  0.837958  54.0  0.972998  0.018359  0.000000  0.008643     False
  HMB2160_HMB321  HMB2160   HMB321   AV  0.947944  0.809555  53.0  0.947944  0.048531  0.000000  0.003525     False
  HMB2156_HMB333  HMB2156   HMB333   AV  0.967476  0.754743  59.0  0.967476  0.000000  0.032524  0.000000     False
  HMB2212_HMB328   HMB328  HMB2212  PHS  0.999324  0.991350  44.0  0.000676  0.000000  0.000000  0.999324     False
   HMB355_HMB494   HMB355   HMB494   AV  0.975255  0.801227  55.0  0.975255  0.023357  0.000000  0.001388     False
   HMB350_HMB645   HMB645   HMB350   AV  0.502132  0.863767  48.0  0.502132  0.264438  0.000000  0.233430     False
   HMB350_HMB647   HMB647   HMB350   GP  0.664551  0.819558  46.0  0.301010  0.664551  0.000000  0.034440     False
   HMB350_HMB648   HMB648   HMB350   AV  0.918794  0.851630  52.0  0.918794  0.045381  0.000000  0.035825     False
   HMB350_HMB649   HMB649   HMB350   AV  0.921875  0.848807  52.0  0.921875  0.046906  0.000000  0.031219     False
  HMB2267_HMB360  HMB2267   HMB360   GP  0.937925  0.821339  37.0  0.005919  0.937925  0.000000  0.056156     False
  HMB2979_HMB357  HMB2979   HMB357   GP  0.938657  0.750077  39.0  0.061343  0.938657  0.000000  0.000000     False
