               PAIR_ID        IID1        H1        IID2        H2       HSR   N
   SampleAA6_SampleAD8   SampleAA6  0.831638   SampleAD8  0.906684  0.917230  29
   SampleAA6_SampleAD9   SampleAA6  0.765678   SampleAD9  0.767273  0.997922  41
  SampleAA6_SampleAD10   SampleAA6  0.832465  SampleAD10  0.813549  0.977276  35
   SampleAA6_SampleAE0   SampleAA6  0.761565   SampleAE0  0.794911  0.958051  21
   SampleAA6_SampleAE1   SampleAA6  0.924132   SampleAE1  0.826583  0.894443  20
   SampleAA6_SampleAE2   SampleAA6  1.000000   SampleAE2  0.805848  0.805848   8
   SampleAA6_SampleAE3   SampleAA6  0.908494   SampleAE3  0.737867  0.812187  14
   SampleAA7_SampleAD7   SampleAA7  0.817975   SampleAD7  0.701768  0.857933  21
   SampleAA7_SampleAD8   SampleAA7  0.746675   SampleAD8  0.705064  0.944272  25
   SampleAA7_SampleAD9   SampleAA7  0.796198   SampleAD9  0.860926  0.924817  19
  SampleAA7_SampleAD10   SampleAA7  0.904363  SampleAD10  0.812534  0.898460  16
   SampleAA7_SampleAE0   SampleAA7  0.666166   SampleAE0  0.845210  0.788166  18
   SampleAA7_SampleAE1   SampleAA7  0.762244   SampleAE1  0.706160  0.926422  19
   SampleAA7_SampleAE2   SampleAA7  0.686547   SampleAE2  0.833927  0.823270  16
   SampleAA7_SampleAE3   SampleAA7  0.814178   SampleAE3  0.742108  0.911481  24
   SampleAA0_SampleAE4   SampleAA0  0.739125   SampleAE4  0.736490  0.996435  25
   SampleAA0_SampleAE5   SampleAA0  0.867159   SampleAE5  0.761568  0.878234  23
   SampleAA0_SampleAE6   SampleAA0  0.923683   SampleAE6  0.872778  0.944889  11
   SampleAA0_SampleAE7   SampleAA0  0.795874   SampleAE7  0.849879  0.936456  15
   SampleAA0_SampleAE8   SampleAA0  0.636320   SampleAE8  0.720877  0.882703  20
   SampleAA0_SampleAE9   SampleAA0  0.825274   SampleAE9  0.817294  0.990331  18
  SampleAA0_SampleAE10   SampleAA0  0.759558  SampleAE10  0.730517  0.961765  13
   SampleAA0_SampleAF0   SampleAA0  0.699700   SampleAF0  0.799559  0.875107  28
   SampleAA1_SampleAE4   SampleAA1  0.840048   SampleAE4  0.865778  0.970281  16
   SampleAA1_SampleAE5   SampleAA1  0.933527   SampleAE5  0.933527  1.000000  13
